OriginAirportName,DestAirportName,AverageArrivalDelay
Albuquerque International Sunport,San Francisco International,12.566666666666666
Chicago O'Hare International,Los Angeles International,12.519480519480519
Newark Liberty International,Lambert-St. Louis International,12.5
Chicago O'Hare International,Denver International,12.485804416403786
Raleigh-Durham International,Ronald Reagan Washington National,12.485507246376812
Raleigh-Durham International,John F. Kennedy International,12.477611940298507
Minneapolis-St Paul International,Chicago O'Hare International,12.4725
Miami International,Logan International,12.457142857142857
Southwest Florida International,Dallas/Fort Worth International,12.454545454545455
Denver International,General Mitchell International,12.405172413793103
Hartsfield-Jackson Atlanta International,John F. Kennedy International,12.393617021276595
Dallas/Fort Worth International,General Mitchell International,12.383838383838384
Dallas/Fort Worth International,Tampa International,12.38255033557047
Baltimore/Washington International Thurgood Marshall,Louisville International-Standiford Field,12.371428571428572
Cleveland-Hopkins International,Dallas/Fort Worth International,12.37037037037037
Kahului Airport,San Francisco International,12.339285714285714
Detroit Metro Wayne County,Cleveland-Hopkins International,12.306122448979592
LaGuardia,Washington Dulles International,12.301724137931034
Pittsburgh International,Philadelphia International,12.292682926829269
Port Columbus International,Washington Dulles International,12.285714285714286
Luis Munoz Marin International,John F. Kennedy International,12.27659574468085
Metropolitan Oakland International,Washington Dulles International,12.235294117647058
Will Rogers World,Dallas Love Field,12.22680412371134
Will Rogers World,Denver International,12.187134502923977
McCarran International,Pittsburgh International,12.18
Minneapolis-St Paul International,Newark Liberty International,12.172932330827068
Los Angeles International,Denver International,12.170833333333333
McCarran International,Tucson International,12.170454545454545
Phoenix Sky Harbor International,Newark Liberty International,12.106666666666667
Cincinnati/Northern Kentucky International,Baltimore/Washington International Thurgood Marshall,12.098039215686274
San Francisco International,Reno/Tahoe International,12.086538461538462
Detroit Metro Wayne County,Pittsburgh International,12.085365853658537
Charlotte Douglas International,Washington Dulles International,12.085308056872037
LaGuardia,Tampa International,12.079365079365079
Detroit Metro Wayne County,Jacksonville International,12.076923076923077
McCarran International,Nashville International,12.068965517241379
Charlotte Douglas International,Denver International,12.060344827586206
Chicago O'Hare International,LaGuardia,12.029411764705882
Newark Liberty International,Cincinnati/Northern Kentucky International,12.027027027027026
LaGuardia,Port Columbus International,12.008196721311476
Theodore Francis Green State,Southwest Florida International,12.0
William P Hobby,Raleigh-Durham International,12.0
Chicago Midway International,Nashville International,11.98076923076923
Chicago O'Hare International,Eppley Airfield,11.980582524271844
Charlotte Douglas International,Port Columbus International,11.978260869565217
Baltimore/Washington International Thurgood Marshall,Nashville International,11.977099236641221
Chicago O'Hare International,George Bush Intercontinental/Houston,11.974504249291785
Will Rogers World,Chicago Midway International,11.969696969696969
Cincinnati/Northern Kentucky International,Chicago O'Hare International,11.964401294498382
Charlotte Douglas International,Eppley Airfield,11.953488372093023
Seattle/Tacoma International,Hartsfield-Jackson Atlanta International,11.937853107344633
Phoenix Sky Harbor International,John F. Kennedy International,11.91578947368421
Portland International,San Francisco International,11.886075949367088
Phoenix Sky Harbor International,Chicago O'Hare International,11.867704280155642
Bob Hope,Denver International,11.862385321100918
Seattle/Tacoma International,William P Hobby,11.857142857142858
Austin - Bergstrom International,Denver International,11.853146853146853
Chicago O'Hare International,John F. Kennedy International,11.84
George Bush Intercontinental/Houston,Jacksonville International,11.837837837837839
Logan International,John F. Kennedy International,11.822429906542055
Dallas/Fort Worth International,Detroit Metro Wayne County,11.813471502590673
Kansas City International,Orlando International,11.8
Dallas/Fort Worth International,Indianapolis International,11.793103448275861
Chicago O'Hare International,Richmond International,11.772727272727273
Logan International,San Francisco International,11.770750988142293
Chicago Midway International,Logan International,11.765765765765765
Chicago Midway International,Reno/Tahoe International,11.761904761904763
Louisville International-Standiford Field,Charlotte Douglas International,11.745098039215685
Dallas/Fort Worth International,Portland International,11.744186046511627
Dallas Love Field,Hartsfield-Jackson Atlanta International,11.743119266055047
John F. Kennedy International,Palm Beach International,11.728813559322035
Logan International,Southwest Florida International,11.723076923076922
Orlando International,Ronald Reagan Washington National,11.719626168224298
William P Hobby,John Wayne Airport-Orange County,11.705882352941176
Salt Lake City International,Philadelphia International,11.692307692307692
General Mitchell International,Tampa International,11.688888888888888
John F. Kennedy International,Jacksonville International,11.6875
Seattle/Tacoma International,Washington Dulles International,11.676470588235293
Cleveland-Hopkins International,Kansas City International,11.673076923076923
San Francisco International,Logan International,11.657142857142857
Hartsfield-Jackson Atlanta International,Austin - Bergstrom International,11.61046511627907
Tampa International,John F. Kennedy International,11.60989010989011
Ted Stevens Anchorage International,Salt Lake City International,11.607142857142858
Chicago Midway International,Pittsburgh International,11.58252427184466
Denver International,Hartsfield-Jackson Atlanta International,11.565517241379311
Ronald Reagan Washington National,Philadelphia International,11.5625
LaGuardia,Denver International,11.550925925925926
Luis Munoz Marin International,Fort Lauderdale-Hollywood International,11.53416149068323
Hartsfield-Jackson Atlanta International,Chicago O'Hare International,11.532008830022075
Baltimore/Washington International Thurgood Marshall,Albuquerque International Sunport,11.48936170212766
Norfolk International,Jacksonville International,11.481481481481481
Kansas City International,Detroit Metro Wayne County,11.466666666666667
General Mitchell International,Seattle/Tacoma International,11.454545454545455
Chicago O'Hare International,Ronald Reagan Washington National,11.450248756218905
William P Hobby,San Antonio International,11.411111111111111
Chicago Midway International,Orlando International,11.367816091954023
Lambert-St. Louis International,Fort Lauderdale-Hollywood International,11.352941176470589
George Bush Intercontinental/Houston,Ted Stevens Anchorage International,11.333333333333334
Will Rogers World,San Francisco International,11.333333333333334
Chicago O'Hare International,Salt Lake City International,11.32620320855615
Palm Beach International,Baltimore/Washington International Thurgood Marshall,11.31578947368421
Newark Liberty International,George Bush Intercontinental/Houston,11.312741312741313
Cleveland-Hopkins International,John F. Kennedy International,11.3
Dallas/Fort Worth International,Port Columbus International,11.295918367346939
John F. Kennedy International,Norman Y. Mineta San Jose International,11.291666666666666
Philadelphia International,Pittsburgh International,11.28048780487805
Denver International,Nashville International,11.267973856209151
Charlotte Douglas International,Richmond International,11.248062015503876
Seattle/Tacoma International,Chicago Midway International,11.207317073170731
Dallas/Fort Worth International,Cleveland-Hopkins International,11.2
Baltimore/Washington International Thurgood Marshall,Port Columbus International,11.179245283018869
Baltimore/Washington International Thurgood Marshall,John F. Kennedy International,11.1625
Chicago Midway International,San Antonio International,11.157894736842104
Philadelphia International,Chicago Midway International,11.15748031496063
Logan International,Portland International,11.153846153846153
San Antonio International,Chicago Midway International,11.148936170212766
George Bush Intercontinental/Houston,Port Columbus International,11.145454545454545
Chicago O'Hare International,Detroit Metro Wayne County,11.140589569160998
Baltimore/Washington International Thurgood Marshall,General Mitchell International,11.098360655737705
General Mitchell International,Dallas/Fort Worth International,11.08
Denver International,Will Rogers World,11.058441558441558
Louis Armstrong New Orleans International,Chicago O'Hare International,11.047619047619047
McCarran International,William P Hobby,11.03921568627451
